Id,question,answers
1, 'What is the exam schedule/timetable?', 'Alternatively  exam schedule is always shared in your WhatsApp batch group by the Head Of Department or can be found on the college website.'
3,'How to see/check result on website?'," 'Navigate to the college website >> Tap the three lines on the side of the blue bar. Under the Students Corner, choose Results option >> enter your Student ID to view the result'"
4,how to apply for backpaper?',
5,'How do I get the marksheet?', 'Students can retrieve their marksheet from counter no. 6 in the administrative department. NOTE: It may require showing your old library card or ID card.'
6,how to fill the examination form?',"For first years, examination form needs to be filled and submitted in college. For senior students, examination form can be filled and submitted online on the college website. The instructions for the same are"
7, 'What are the passinng marks/criteria?',
8,how can I apply for reevaluation of marks?',
9,'When are internal assessments conducted?', 'Internal exams are conducted twice in a semester before final external exams. It is usually of 20 marks for 2 units. 
10,'whom to contact for exam related issues?', 'Any problem you have got related to exams can easily be solved by asking the subject teacher or the Head of Department.'
11, 'How to apply for leave?',
12,what is the minimum attendace required?',
13,'what are the exam rules?', 'All the rules to be followed in an exam hall is mentioned in the examination form or in your admit card.  Students are strictly advised to read it thoroughly and follow it.'
14,does medical leave counts in attendance?',Students are asked to submit an application and a medical certificate if their attendance is less than mandatory i.e. 75%.'
15, 'What happens in case of attendance shortage?',"Students are asked to submit an application and a medical certificate if their attendance is less than mandatory i.e. 75%. In case of no medical certificates, an additional fee is charged or admit card's issue process may be hindered or delayed.'"
16,how can i get my id card?',ID card can be issued at the counter number 4. 
17, 'how can I check my attendance?', 'Students's attendance record is maintained in a register. Anyone can ask the teacher for their attendance percentage in that specific subject. Attendance percentage is calculated at the end of each month.'
18, 'what documents are required for admission',
19,How can i change my course?',
20,Is there any specialization course I can apply for?',That depends on your department. Contact your Head of Department for information.'
21, 'How can I get my personal details updated in college database',
22,'what are the minor subjects for 3rd sem students?',
23,'what are the minor subjects for 2nd sem students?',
24,'what are the minor subjects for 1st sem students?',
25,List the UG course I can apply for?',
26,List the PG course I can apply for?',
27, 'What are the certificate courses I can apply for?',
28,Does npgc have study centers for distance learning?',
29,From where can i download my course syllabus?',
30,How do I apply for scholarship?',
31,What is the eligibility for scholarship?',
32,How much money is credited in scholarship?',
33,ls scholarship different for SC/ST/OBC/General?',
34,When do we get scholarship amount?',
35, 'What is the last date for fee payment?',
36, 'what is my  college fee per semester?',
37, 'What are the accpted methods for fee payment?',
38,Can I pay my fees online?',
39,Is it possible to pay fees in installments?',
40,does college refund fees after admission?',
41,Is there any fine for delayed payment?',
42,How do I get a library card?',
43, 'What happens if I lose a library card?',
44, 'What is the timing of library?',
45,What are reading room timings?',
46,Is there any digital library/e-resources access?',
47,what is the fine for late return of books?',
48,how can i borrow books from library?',
49, 'What are the office working hours?',
50,How many books can I issue at once?',
51,Is there wifi on campus?',
52, 'What is the menu of canteen?',
53, 'Where are the computer labs and science labs?',
54,what are the sports facilities in college?',
55, 'Where can I find the medical room?',
56,Is there any bus facility in college?',
57,what documents are required for mst?',
58, 'What documents are required for hostel admission?',
59,How to apply for alumni cell?',
60,what are the alumni events?',
61, 'how does alumni cell help gain job opportunities?,
62, 'How to apply for plcement cell?',
63,Who is the principal of the college?',
64, 'Whom to contact if I lose my belongings on campus?',
65,How can I publish my work in college magazine?',
66, 'Are internships provided by the college?',
67,What companies visit for campus placements?',
68,placement season in college?',
69,What is the hostel fee per semester?',
70, 'What are the hostel mess timings and menu details?',
71, 'What's the process for hostel admission or complaints?',
72, 'rules we need to follow in hostels?',
73, 'Where to report maintenance problems',
74,How to book auditoriums for events?',
75,Does college organise the farewell party?',
76,Does college organise the fresher party?',
77, 'Is there any upcoming event in the college?',
78,'how can i participate in a college event?',
79,'Are there any students clubs?',
80,How big is the campus?',
81, 'What is the grading system ?',
