id,Question,Informational,Guidance oriented,Institutional,Conversational,,
1,who is the Head of the Hindi Department?,Prof. Ramkrishna is the Head of the Hindi Department.,Students should note that Prof. Ramkrishna serves as the Head of the Hindi Department.,Prof. Ramkrishna holds the position of Head of the Hindi Department.,Prof. Ramkrishna is the Head of the Hindi Department.,,
,,,,,,,
2,who is the Head of Department (HOD) of zoology Department?,Dr. Gyanendra Kumar is the Head of the Zoology Department.,Students should note that Dr. Gyanendra Kumar serves as the Head of the Zoology Department.,Dr. Gyanendra Kumar holds the position of Head of the Zoology Department.,Dr. Gyanendra Kumar is the Head of the Zoology Department.,,
3,where is the Zoology department office located?,The Zoology department office is located on the first floor of the Science Block.,Students can visit the Zoology department office on the first floor of the Science Block.,It is hereby informed that the Zoology department office is situated on the first floor of the Science Block.,You’ll find the Zoology department office on the first floor of the Science Block.,,
,,,,,,,
4,who is the Head of the Department (HOD) of English Department?,Dr. Binu Singh is the Head of the English Department.,Students should note that Dr. Binu Singh serves as the Head of the English Department.,Dr. Binu Singh holds the position of the Head of English Department.,Dr. Binu Singh is the Head of the English Department.,,
,,,,,,,
5,who is the Head of the Department (HOD) of Botany Department?,Dr. Avijeet Chatterjee is the Head of the Botany Department.,Students should note that Dr. Avijeet Chatterjee serves as the Head of the Botany Department.,Dr. Avijeet Chatterjee holds the position of the Head of Botany Department.,Dr. Avijeet Chatterjee is the Head of the Botany Department.,,
6,where is the Botany department office located?,The Botany department office is located on the first floor of the Science Block.,Students can visit the Botany department office on the first floor of the Science Block.,It is hereby informed that the Botany department office is situated on the first floor of the Science Block.,You’ll find the Botany department office on the first floor of the Science Block.,,
,,,,,,,
7,who is the Head of the Department (HOD) of Mathematics Department?,Dr. Bhanu Pratap Singh is the Head of the Mathematics Department.,Students should note that Dr. Bhanu Pratap Singh serves as the Head of the Mathematics Department.,Dr. Bhanu Pratap Singh holds the position of Head of the Mathematics Department.,Dr. Bhanu Pratap Singh is the Head of the Mathematics Department.,,
